file,area,brightness,centroid_x,centroid_y
nasa_image_2.png,3.0,408,502.0,96.66666666666667
nasa_image_2.png,8.0,1147,145.25,98.125
nasa_image_2.png,6.0,842,160.16666666666666,97.33333333333333
nasa_image_2.png,111.0,16275,199.95495495495496,101.90990990990991
nasa_image_2.png,3.0,399,250.0,97.0
nasa_image_2.png,1.0,135,264.0,97.0
nasa_image_2.png,1.0,130,327.0,97.0
nasa_image_2.png,7.0,968,350.57142857142856,97.85714285714286
nasa_image_2.png,4.0,614,465.5,97.5
nasa_image_2.png,1.0,134,333.0,98.0
nasa_image_2.png,4.0,527,360.75,98.75
nasa_image_2.png,8.0,1180,366.0,98.625
nasa_image_2.png,1.0,132,377.0,98.0
nasa_image_2.png,30.0,4288,386.2,99.4
nasa_image_2.png,3.0,409,434.6666666666667,98.33333333333333
nasa_image_2.png,3.0,404,173.0,99.0
nasa_image_2.png,2.0,276,299.5,99.0
nasa_image_2.png,5.0,699,423.0,99.0
nasa_image_2.png,1.0,133,92.0,100.0
nasa_image_2.png,13.0,1888,129.53846153846155,102.07692307692308
nasa_image_2.png,6.0,815,243.0,100.5
nasa_image_2.png,15.0,2119,252.86666666666667,102.6
nasa_image_2.png,2.0,264,296.5,100.0
nasa_image_2.png,3.0,396,356.6666666666667,100.66666666666667
nasa_image_2.png,5.0,700,442.0,100.0
nasa_image_2.png,8.0,1163,450.0,101.0
nasa_image_2.png,12.0,1775,155.16666666666666,102.41666666666667
nasa_image_2.png,48.0,6963,288.9583333333333,103.33333333333333
nasa_image_2.png,5.0,689,337.2,101.6
nasa_image_2.png,2.0,275,208.0,102.5
nasa_image_2.png,4.0,542,259.0,102.75
nasa_image_2.png,27.0,3956,318.55555555555554,103.55555555555556
nasa_image_2.png,1.0,135,328.0,102.0
nasa_image_2.png,1.0,130,386.0,102.0
nasa_image_2.png,14.0,1927,362.85714285714283,104.57142857142857
nasa_image_2.png,5.0,677,378.0,104.0
nasa_image_2.png,2.0,275,402.5,103.0
nasa_image_2.png,1.0,131,468.0,103.0
nasa_image_2.png,39.0,5688,142.12820512820514,106.82051282051282
